skill_id,level,attack_bonus,affinity_bonus,crit_multiplier,element_multiplier,attack_multiplier,physical_multiplier
bao-po-shu-xing-qiang-hua,1,,,,,,
bao-po-shu-xing-qiang-hua,2,,,,,,
bao-po-shu-xing-qiang-hua,3,,,,,,
hui-xin-ji-shu-xing,1,,,,,,
hui-xin-ji-shu-xing,2,,,,,,
hui-xin-ji-shu-xing,3,,,,,,
hui-xin-ji-te-shu,1,,,,,,
hui-xin-ji-te-shu,2,,,,,,
hui-xin-ji-te-shu,3,,,,,,
chiyazimasuta,1,,,,,,
chiyazimasuta,2,,,,,,
chiyazimasuta,3,,,,,,
jiang,1,,,,,,
jiang,2,,,,,,
jiang,3,,,,,,
jiang,4,,,,,,
jiang,5,,,,,,
ye-wu,1,,,,,,
ye-wu,2,,,,,,
ye-wu,3,,,,,,
gang-ren-yan-mo,1,,,,,,
gang-ren-yan-mo,2,,,,,,
gang-ren-yan-mo,3,,,,,,
xin-yan,1,,,,,,
xin-yan,2,,,,,,
xin-yan,3,,,,,,
dun-qi-shi-i,1,,,,,,
dun-qi-shi-i,2,,,,,,
dun-qi-shi-i,3,,,,,,
da-ren-yun,1,,,,,,
tong-chang-dan-tong-chang-shi-qiang-hua,1,,,,,,
guan-tong-dan-long-noshi-qiang-hua,1,,,,,,
san-dan-gang-she-qiang-hua,1,,,,,,
dan-dao-qiang-hua,1,,,,,,
dan-dao-qiang-hua,2,,,,,,
dan-dao-qiang-hua,3,,,,,,
su-she-qiang-hua,1,,,,,,
huasutoshiyotsuto,1,,,,,,
huasutoshiyotsuto,2,,,,,,
huasutoshiyotsuto,3,,,,,,
huosushiyotsuto,1,,,,,,
huosushiyotsuto,2,,,,,,
huosushiyotsuto,3,,,,,,
te-shu-she-ji-qiang-hua,1,,,,,,
te-shu-she-ji-qiang-hua,2,,,,,,
du-binzhui-jia,1,,,,,,
ma-bei-binzhui-jia,1,,,,,,
shui-mian-binzhui-jia,1,,,,,,
bao-po-binzhui-jia,1,,,,,,
jian-qi-binzhui-jia,1,,,,,,
ji-zhong,1,,,,,,
ji-zhong,2,,,,,,
ji-zhong,3,,,,,,
qiang-hua-chi-sok,1,,,,,,
qiang-hua-chi-sok,2,,,,,,
qiang-hua-chi-sok,3,,,,,,
ba-dao-shu-li,1,3.0,,,,,
ba-dao-shu-li,2,5.0,,,,,
ba-dao-shu-li,3,7.0,,,,,
koshu,1,,,,,,
koshu,2,,,,,,
koshu,3,,,,,,
sutaminaduo-qu,1,,,,,,
sutaminaduo-qu,2,,,,,,
sutaminaduo-qu,3,,,,,,
pao-shu,1,,,,,,
pao-shu,2,,,,,,
pao-shu,3,,,,,,
gao-su-bian-xing,1,,,,,,
gao-su-bian-xing,2,,,,,,
gao-su-bian-xing,3,,,,,,
di-chui-kiming-ren,1,,,,,,
di-chui-kiming-ren,2,,,,,,
liu-da-qiang-hua,1,,,,,,
fei-yan,1,,,,,,
du-dameziqiang-hua,1,,,,,,
gadoxing-neng,1,,,,,,
gadoxing-neng,2,,,,,,
gadoxing-neng,3,,,,,,
gadoqiang-hua,1,,,,,,
gadoqiang-hua,2,,,,,,
gadoqiang-hua,3,,,,,,
pao-dan-zhuang-tian,1,,,,,,
pao-dan-zhuang-tian,2,,,,,,
di-shi-shi-yong-gao-su-hua,1,,,,,,
di-shi-shi-yong-gao-su-hua,2,,,,,,
ru-reren-wen,1,,,,,,
ru-reren-wen,2,,,,,,
ru-reren-wen,3,,,,,,
bai-chi-noben-liu,1,,,,,,
nai-xing-bian-huan-lei,1,,,,,,
ren-lin-yan-zhuang,1,,,,,,
ren-lin-zeng-zhuang,1,,,,,,
pawasuton,1,,,,,,
shao-kipao-morokoshi,1,,,,,,
yan-noliao-li-ren,1,,,,,,
hui-bi-zhuang-tian,1,,,,,,
an-hei,1,,,,,,
shirudoopushiyon,1,,,,,,
lian-xi-puroguramu,1,,,,,,
ni-hen-mi,1,5.0,,,,,
ni-hen-mi,2,10.0,,,,,
ni-hen-mi,3,15.0,,,,,
ni-hen-mi,4,20.0,,,,,
ni-hen-mi,5,25.0,,,,,
qiao-ji,1,10.0,,,,,
qiao-ji,2,15.0,,,,,
qiao-ji,3,20.0,,,,,
qiao-ji,4,25.0,,,,,
qiao-ji,5,30.0,,,,,
huruchiyazi,1,3.0,,,,,
huruchiyazi,2,6.0,,,,,
huruchiyazi,3,10.0,,,,,
huruchiyazi,4,15.0,,,,,
huruchiyazi,5,20.0,,,,,
ni-xi,1,10.0,,,,,
ni-xi,2,15.0,,,,,
ni-xi,3,25.0,,,,,
ruo-dian-te-xiao,1,,5.0,,,,
ruo-dian-te-xiao,2,,10.0,,,,
ruo-dian-te-xiao,3,,15.0,,,,
ruo-dian-te-xiao,4,,20.0,,,,
ruo-dian-te-xiao,5,,30.0,,,,
hun-shen,1,,10.0,,,,
hun-shen,2,,20.0,,,,
hun-shen,3,,30.0,,,,
shu-xing-bian-huan,1,,,,,,
shu-xing-bian-huan,2,,,,,,
shu-xing-bian-huan,3,,,,,,
fang-yu,1,,,,,,
fang-yu,2,,,,,,
fang-yu,3,,,,,,
fang-yu,4,,,,,,
fang-yu,5,,,,,,
fang-yu,6,,,,,,
fang-yu,7,,,,,,
jing-ling-nojia-hu,1,,,,,,
jing-ling-nojia-hu,2,,,,,,
jing-ling-nojia-hu,3,,,,,,
huo-nai-xing,1,,,,,,
huo-nai-xing,2,,,,,,
huo-nai-xing,3,,,,,,
shui-nai-xing,1,,,,,,
shui-nai-xing,2,,,,,,
shui-nai-xing,3,,,,,,
lei-nai-xing,1,,,,,,
lei-nai-xing,2,,,,,,
lei-nai-xing,3,,,,,,
bing-nai-xing,1,,,,,,
bing-nai-xing,2,,,,,,
bing-nai-xing,3,,,,,,
long-nai-xing,1,,,,,,
long-nai-xing,2,,,,,,
long-nai-xing,3,,,,,,
du-nai-xing,1,,,,,,
du-nai-xing,2,,,,,,
du-nai-xing,3,,,,,,
ma-bei-nai-xing,1,,,,,,
ma-bei-nai-xing,2,,,,,,
ma-bei-nai-xing,3,,,,,,
shui-mian-nai-xing,1,,,,,,
shui-mian-nai-xing,2,,,,,,
shui-mian-nai-xing,3,,,,,,
fang-yu-li-downnai-xing,1,,,,,,
fang-yu-li-downnai-xing,2,,,,,,
fang-yu-li-downnai-xing,3,,,,,,
shu-xing-yararenai-xing,1,,,,,,
shu-xing-yararenai-xing,2,,,,,,
shu-xing-yararenai-xing,3,,,,,,
qi-jue-nai-xing,1,,,,,,
qi-jue-nai-xing,2,,,,,,
qi-jue-nai-xing,3,,,,,,
lie-shang-nai-xing,1,,,,,,
lie-shang-nai-xing,2,,,,,,
lie-shang-nai-xing,3,,,,,,
ju-shu-nai-xing,1,,,,,,
ju-shu-nai-xing,2,,,,,,
ju-shu-nai-xing,3,,,,,,
bao-po-yararenai-xing,1,,,,,,
bao-po-yararenai-xing,2,,,,,,
bao-po-yararenai-xing,3,,,,,,
e-chou-nai-xing,1,,,,,,
e-chou-nai-xing,2,,,,,,
huan-jing-shi-ying,1,,,,,,
huan-jing-shi-ying,2,,,,,,
ti-li-hui-fu-liang-up,1,,,,,,
ti-li-hui-fu-liang-up,2,,,,,,
ti-li-hui-fu-liang-up,3,,,,,,
hui-fu-su-du,1,,,,,,
hui-fu-su-du,2,,,,,,
hui-fu-su-du,3,,,,,,
huan-jing-li-yong-nozhi-shi,1,,,,,,
huan-jing-li-yong-nozhi-shi,2,,,,,,
huan-jing-li-yong-nozhi-shi,3,,,,,,
ti-shu,1,,,,,,
ti-shu,2,,,,,,
ti-shu,3,,,,,,
ti-shu,4,,,,,,
ti-shu,5,,,,,,
sutaminaji-su-hui-fu,1,,,,,,
sutaminaji-su-hui-fu,2,,,,,,
sutaminaji-su-hui-fu,3,,,,,,
ranna,1,,,,,,
ranna,2,,,,,,
ranna,3,,,,,,
fu-jian-rinai-xing,1,,,,,,
fu-jian-rinai-xing,2,,,,,,
fu-jian-rinai-xing,3,,,,,,
tiao-zhan-zhe,1,4.0,3.0,,,,
tiao-zhan-zhe,2,8.0,5.0,,,,
tiao-zhan-zhe,3,12.0,7.0,,,,
tiao-zhan-zhe,4,16.0,10.0,,,,
tiao-zhan-zhe,5,20.0,15.0,,,,
li-nojie-fang,1,,10.0,,,,
li-nojie-fang,2,,20.0,,,,
li-nojie-fang,3,,30.0,,,,
li-nojie-fang,4,,40.0,,,,
li-nojie-fang,5,,50.0,,,,
huo-shi-chang-li,1,,,,,,
huo-shi-chang-li,2,,,,,,
huo-shi-chang-li,3,,,,,,
huo-shi-chang-li,4,,,,,,
huo-shi-chang-li,5,,,,,,
lian-ji,1,,,,,,
lian-ji,2,,,,,,
lian-ji,3,,,,,,
lian-ji,4,,,,,,
lian-ji,5,,,,,,
gong-shi,1,6.0,,,,,
gong-shi,2,8.0,5.0,,,,
gong-shi,3,10.0,10.0,,,,
gong-shi,4,12.0,15.0,,,,
gong-shi,5,15.0,20.0,,,,
suo-ren-ci-ji,1,,,,,,
suo-ren-ci-ji,2,,,,,,
suo-ren-ci-ji,3,,,,,,
suo-ren-ci-ji,4,,,,,,
suo-ren-ci-ji,5,,,,,,
otomohenocai-pei,1,,,,,,
otomohenocai-pei,2,,,,,,
otomohenocai-pei,3,,,,,,
otomohenocai-pei,4,,,,,,
otomohenocai-pei,5,,,,,,
po-huai-wang,1,,,,,,
po-huai-wang,2,,,,,,
po-huai-wang,3,,,,,,
zai-huo-zhuan-fu,1,,,,,,
zai-huo-zhuan-fu,2,,,,,,
zai-huo-zhuan-fu,3,,,,,,
ji-xi,1,,,,,,
ji-xi,2,,,,,,
ji-xi,3,,,,,,
wu-wo-nojing-di,1,,3.0,,,,
wu-wo-nojing-di,2,,6.0,,,,
wu-wo-nojing-di,3,,10.0,,,,
shu-xing-xi-shou,1,,,,,,
shu-xing-xi-shou,2,,,,,,
shu-xing-xi-shou,3,,,,,,
yan-zuan,1,,,,,,
hui-bi-xing-neng,1,,,,,,
hui-bi-xing-neng,2,,,,,,
hui-bi-xing-neng,3,,,,,,
hui-bi-xing-neng,4,,,,,,
hui-bi-xing-neng,5,,,,,,
hui-bi-ju-li-up,1,,,,,,
hui-bi-ju-li-up,2,,,,,,
hui-bi-ju-li-up,3,,,,,,
er-shuan,1,,,,,,
er-shuan,2,,,,,,
er-shuan,3,,,,,,
na-dao-shu,1,,,,,,
na-dao-shu,2,,,,,,
na-dao-shu,3,,,,,,
feng-ya-nai-xing,1,,,,,,
feng-ya-nai-xing,2,,,,,,
feng-ya-nai-xing,3,,,,,,
nai-zhen,1,,,,,,
nai-zhen,2,,,,,,
nai-zhen,3,,,,,,
hirumiqing-jian,1,,,,,,
hirumiqing-jian,2,,,,,,
hirumiqing-jian,3,,,,,,
wei-xia,1,,,,,,
wei-xia,2,,,,,,
wei-xia,3,,,,,,
zao-shi-i,1,,,,,,
zao-shi-i,2,,,,,,
zao-shi-i,3,,,,,,
shui-chang-you-ni-shi-ying,1,,,,,,
shui-chang-you-ni-shi-ying,2,,,,,,
huan-chong,1,,,,,,
fei-biip-mi,1,,,,,,
ziyanputie-ren,1,,,,,,
kuraima,1,,,,,,
guang-yu-hua,1,,,,,,
guang-yu-hua,2,,,,,,
guang-yu-hua,3,,,,,,
guang-yu-hua,4,,,,,,
guang-yu-hua,5,,,,,,
zheng-bei,1,,,,,,
zheng-bei,2,,,,,,
zheng-bei,3,,,,,,
zheng-bei,4,,,,,,
zheng-bei,5,,,,,,
boma,1,,,,,,
boma,2,,,,,,
boma,3,,,,,,
kinokoda-hao-ki,1,,,,,,
kinokoda-hao-ki,2,,,,,,
kinokoda-hao-ki,3,,,,,,
aitemushi-yong-qiang-hua,1,,,,,,
aitemushi-yong-qiang-hua,2,,,,,,
aitemushi-yong-qiang-hua,3,,,,,,
man-zu-gan,1,,,,,,
man-zu-gan,2,,,,,,
man-zu-gan,3,,,,,,
shan-guang-qiang-hua,1,,,,,,
zhi-sheng-xue,1,,,,,,
zhi-sheng-xue,2,,,,,,
zhi-sheng-xue,3,,,,,,
zhi-sheng-xue,4,,,,,,
di-zhi-xue,1,,,,,,
di-zhi-xue,2,,,,,,
di-zhi-xue,3,,,,,,
kun-chong-biao-ben-noda-ren,1,,,,,,
hantasheng-huo,1,,,,,,
nigirimeshi,1,,,,,,
